

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
072.821  000.090  000.090: require('mason-core.providers')
073.216  000.127  000.127: require('mason-core.installer.registry.expr')
073.240  000.286  000.159: require('mason-core.installer.registry.link')
073.847  000.103  000.103: require('mason-core.receipt')
073.929  000.310  000.206: require('mason-core.installer.context')
074.030  000.095  000.095: require('mason-core.async.control')
074.159  000.123  000.123: require('mason-core.installer.linker')
074.170  000.684  000.156: require('mason-core.installer')
074.207  000.873  000.188: require('mason-core.installer.managers.std')
074.213  000.968  000.096: require('mason-core.installer.registry.schemas')
074.311  000.095  000.095: require('mason-core.installer.registry.util')
074.331  001.505  000.155: require('mason-core.installer.registry')
074.354  002.607  000.092: require('mason-registry.sources.github')
081.630  000.061  000.061: require('mason-core.functional.number')
081.675  000.233  000.172: require('mason-lspconfig.api.command')
081.773  000.072  000.072: require('lspconfig')
081.841  000.060  000.060: require('lspconfig.server_configurations.tsserver')
082.476  000.088  000.088: require('lspconfig.server_configurations.pyright')
083.054  000.072  000.072: require('lspconfig.server_configurations.lua_ls')
083.709  000.092  000.092: require('lspconfig.server_configurations.bashls')
084.104  000.066  000.066: require('lspconfig.server_configurations.cssls')
085.058  018.523  010.361: require('stankovictab.specifics.lsp-hell')
085.541  000.186  000.186: sourcing /home/stankovictab/.local/share/nvim/lazy/vim-commentary/plugin/commentary.vim
086.647  000.078  000.078: require('nvim-treesitter.utils')
087.418  000.057  000.057: require('vim.treesitter.language')
087.446  000.169  000.112: require('vim.treesitter.query')
087.552  000.103  000.103: require('vim.treesitter._range')
087.571  000.402  000.130: require('vim.treesitter.languagetree')
087.590  000.572  000.171: require('vim.treesitter')
088.516  001.864  001.291: require('nvim-treesitter.parsers')
089.367  000.162  000.162: require('nvim-treesitter.compat')
089.797  000.268  000.268: require('nvim-treesitter.ts_utils')
089.819  000.440  000.172: require('nvim-treesitter.tsrange')
089.947  000.124  000.124: require('nvim-treesitter.caching')
089.979  001.053  000.327: require('nvim-treesitter.query')
090.030  001.327  000.274: require('nvim-treesitter.configs')
090.042  001.513  000.186: require('nvim-treesitter.info')
090.257  000.211  000.211: require('nvim-treesitter.shell_command_selectors')
090.343  003.908  000.242: require('nvim-treesitter.install')
090.460  000.111  000.111: require('nvim-treesitter.statusline')
090.670  000.204  000.204: require('nvim-treesitter.query_predicates')
090.677  004.673  000.450: require('nvim-treesitter')
